,desc,desc,desc,desc,desc,MH,MH,MH,MH,MH,MH,MH,EQ,EQ,EQ,EQ,EQ,EQ,EQ,FU,FU,FU,FU,FU,FU,FU,PU,PU,PU,PU,PU,PU,PU,CF,CF,CF,CF,CF,CF,CF,Cyc,Cyc,Cyc,Cyc,Cyc,Cyc,Cyc
,full_name,wbinc,GDP,length,infra_value,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100
ABW,Aruba,HIC,2791960894.0,1204.5667624418243,766568729.6581789,11911.522485203808,24961.973570588874,43293.08779874543,53849.168955865694,68257.89731444967,107631.56307523572,180740.21758361266,6122.7341395421,12163.913587658923,19461.62640499781,23711.40672625044,28641.659867958715,47349.61928202977,79377.21666814176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.3762465537219,1205.7005294942473,2279.6395636979937,2924.221297549069,3740.0752938288865,5490.64516926794,8883.968105611875,5184.412099107985,11592.359453435705,21551.821830049623,27213.54093206619,35876.162152662066,54791.29862393802,92479.03280985901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Afghanistan,LIC,20815300220.0,98227.9660905514,43638075823.406204,11530781.472028408,21674696.610802565,33023175.765261322,42955377.03058369,61124204.945949174,113656724.76682582,240378015.16174722,1006527.7441419247,2435431.671203034,3974520.997293455,4700187.757999048,6080885.777757595,12420439.975560706,22295668.24358671,3884772.3874639,7226849.042900244,9854961.955138478,15225187.294405304,20776203.917279046,42384839.10861407,88587821.54486957,6639481.340422583,12012415.896699287,19193692.81282939,23030001.978179336,34267115.25091253,58851445.68265104,129494525.37329094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,Angola,LMC,127000000000.0,137734.23668546544,175429623924.06967,7547191.437634292,12512626.538205177,16539474.497972783,18842600.20317885,24160752.034317132,40461174.95419799,72497816.00939216,0.0,1.3149216921611457,3.785740076416686,5.51593211896814,7.4806626829020555,2398.7946516241523,9056.9973812469,4209202.042694701,7876573.853868525,10849136.012889162,12673589.93241059,16678982.409128645,28974898.561354045,53660288.820416965,3318597.415888751,4613541.173567368,5664924.220267446,6142485.331530286,7452182.977456237,11444766.044959912,18773410.527264033,19391.979050840055,22510.195847593033,25410.479076098083,26519.42330585429,29579.167069564737,39111.553232407605,55059.66432991756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIA,Anguilla,UMC,109000000.0,383.44031042841453,123145010.57003279,7761.841109238254,8146.584454142705,9539.62960734506,10818.82244819612,11604.97574527155,12677.001474163277,14828.632286382262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7761.841109238254,8146.584454142705,9539.62960734506,10818.82244819612,11604.97574527155,12677.001474163277,14828.632286382262,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Albania,UMC,13228244357.0,27239.629114721607,16677399887.446135,3850178.1474674866,5081233.396240212,8609940.126264205,11131051.843101509,13562781.662938172,18515801.819362413,31211009.065128103,705021.6114449518,1103566.1095220067,2034271.7495184462,2474690.1242065704,2750834.2622429472,4552893.311025824,8430535.909274926,966783.2977729435,1292235.1324253008,2200661.4132539015,2914598.2185523203,3700571.1275316803,4864351.023897877,8084046.019690582,1175941.555475791,1495579.7619152127,2550363.550905099,3402795.833407011,4317435.472709414,5627735.1945919385,9586599.12908244,1002431.6827738,1189852.3923776918,1824643.4125867584,2338967.6669356087,2793940.80045413,3470822.2898467737,5109828.007080154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,Andorra,HIC,4016972351.0,784.6294044499141,1428016880.969112,45830.16700304914,118944.70989147338,216803.2811715941,258245.60337034904,347680.1743111078,575887.572991527,1016164.8738294193,0.0,76.3353587913596,389.6213317728596,535.5178997718341,735.9227234587405,3381.3015903736805,9395.659882099906,10866.162365100725,30331.87235689548,54384.977419493436,62262.87019384023,84847.5007674582,142328.56072531157,253041.12977664653,34964.00463794841,88536.50217578655,162028.6824203278,195447.21527673697,262096.75082019085,430177.7106758418,753728.0841706728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,HIC,403000000000.0,65956.52092538701,102703093075.61008,1719176.6919425307,3982523.1525326264,7320296.505979452,9010874.8469537,11884019.216740023,18875109.55364981,32766239.562560588,70576.17398180078,176902.22699548368,288583.1637145716,359654.98543020384,461503.00433512934,880332.9488690371,1898488.7962170087,560305.8657640726,1356601.083363489,2484470.615462637,2972506.6935629784,3941452.972341288,6310788.308918654,10875207.968919983,187540.38323372943,448961.2806020051,822370.1809471084,980019.4058933711,1293813.1377908557,2061827.2312885905,3527881.8352968083,900753.7363969336,2000056.7901873516,3724870.415591159,4698690.08139487,6187246.374310791,9622155.738913585,16464655.636466846,0.5325659941349504,1.7713842967721962,2.1302639765398017,3.6806722745331535,3.727961958944653,5.325659941349504,5.325659941349504
ARG,Argentina,HIC,638000000000.0,856555.8143561685,5127090215451.0,52930818.540964186,76433709.95061053,106827270.70219795,122255951.4736895,147794102.621539,219226973.26154995,359619015.6961824,7904682.477504746,17707660.269179113,27410011.647652913,32690682.397336856,41273788.930846006,68039901.49884318,116058369.54307926,32010482.515948005,41542563.68896609,56114669.96009179,63395495.75217018,75313230.220186,106677514.52694999,171598524.8571144,12660654.894272236,16666049.665755842,22538630.269515645,25283915.693682753,30119897.650149874,42894822.60842759,69269512.5186634,354998.6532392016,517436.3267094903,763958.8249376039,885857.6304996837,1087185.820357108,1614734.627329212,2692608.777325335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARM,Armenia,UMC,11662040714.0,26796.455147431778,85004587429.96281,2624950.227728704,4057564.4564087447,8163108.667634449,11330244.94170843,13930833.393772395,18449926.542738058,29858246.135701068,513210.7485704923,798766.776095486,1415212.8139291266,1725759.2494270082,1873707.0255766544,2890086.754678613,5295061.726335915,634129.9781277534,1002310.8154380756,2002466.940802701,2803674.8118363926,3514795.5983487023,4532376.335387793,7167409.976140327,1477609.5010304581,2256486.864875183,4745428.912902622,6800810.880445029,8542330.76984704,11027463.452671649,17395774.433224827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
